# Name : Kerbbereich
# Stage: 59
# Units: length:mm angle:deg time:s 
id,x,y,z,displacement_x,displacement_y,displacement_z,epsilon_x,epsilon_y
87,-9.5223,10.1826,-0.1211,0.1832,1.1079,-0.0497,-0.0030,0.0065
88,-9.5511,9.8248,-0.1154,0.1845,1.1062,-0.0509,-0.0041,0.0050
89,-9.5766,9.4657,-0.1157,0.1844,1.1048,-0.0502,-0.0027,0.0048
90,-9.4426,9.1433,-0.1149,0.1835,1.1031,-0.0519,-0.0029,0.0036
91,-9.2480,8.8406,-0.1146,0.1814,1.0995,-0.0508,-0.0021,0.0064
92,-9.0590,8.5293,-0.1069,0.1792,1.0947,-0.0495,-0.0033,0.0084
93,-8.8871,8.2103,-0.1113,0.1766,1.0879,-0.0477,-0.0034,0.0124
94,-8.7218,7.8832,-0.1059,0.1738,1.0789,-0.0455,-0.0039,0.0182
95,-8.5763,7.5478,-0.0969,0.1718,1.0686,-0.0421,-0.0044,0.0227
96,-8.4401,7.2015,-0.0958,0.1707,1.0552,-0.0387,-0.0090,0.0289
97,-8.3158,6.8496,-0.0937,0.1710,1.0397,-0.0346,-0.0121,0.0366
98,-8.1941,6.4918,-0.0839,0.1726,1.0199,-0.0309,-0.0158,0.0466
99,-8.0575,6.1364,-0.0774,0.1753,0.9983,-0.0279,-0.0169,0.0528
100,-7.9184,5.7765,-0.0749,0.1799,0.9714,-0.0209,-0.0193,0.0666
101,-7.8095,5.4033,-0.0689,0.1886,0.9400,-0.0153,-0.0249,0.0811
102,-7.7173,5.0155,-0.0574,0.2008,0.9033,-0.0103,-0.0342,0.0976
103,-7.6155,4.6270,-0.0538,0.2152,0.8620,-0.0037,-0.0415,0.1117
104,-7.5010,4.2339,-0.0435,0.2322,0.8141,0.0042,-0.0485,0.1319
105,-7.3934,3.8295,-0.0376,0.2545,0.7582,0.0126,-0.0637,0.1544
106,-7.2948,3.4151,-0.0291,0.2805,0.6958,0.0242,-0.0694,0.1724
107,-7.2006,2.9888,-0.0173,0.3100,0.6230,0.0334,-0.0741,0.1962
108,-7.1130,2.5521,-0.0066,0.3463,0.5400,0.0426,-0.0877,0.2216
109,-7.0324,2.1033,0.0016,0.3845,0.4473,0.0487,-0.0987,0.2353
110,-6.9575,1.6524,-0.0003,0.4194,0.3534,0.0525,-0.1048,0.2411
111,-6.8902,1.1982,-0.0072,0.4468,0.2566,0.0516,-0.1096,0.2355
112,-6.8376,0.7534,-0.0118,0.4637,0.1673,0.0483,-0.1077,0.2236
113,-6.8129,0.3069,-0.0149,0.4725,0.0789,0.0421,-0.1047,0.2203
114,-6.8143,-0.1396,-0.0169,0.4724,-0.0084,0.0393,-0.1013,0.2144
115,-6.8320,-0.5830,-0.0190,0.4657,-0.0930,0.0437,-0.1015,0.2200
116,-6.8659,-1.0311,-0.0067,0.4507,-0.1824,0.0476,-0.1010,0.2289
117,-6.9164,-1.4808,-0.0081,0.4277,-0.2761,0.0512,-0.1070,0.2373
118,-6.9842,-1.9310,-0.0111,0.3952,-0.3695,0.0559,-0.1050,0.2337
119,-7.0657,-2.3789,-0.0119,0.3571,-0.4606,0.0498,-0.0965,0.2220
120,-7.1507,-2.8199,-0.0219,0.3201,-0.5455,0.0428,-0.0864,0.2057
121,-7.2411,-3.2506,-0.0340,0.2852,-0.6221,0.0325,-0.0705,0.1845
122,-7.3394,-3.6703,-0.0404,0.2569,-0.6906,0.0230,-0.0617,0.1572
123,-7.4399,-4.0783,-0.0559,0.2331,-0.7478,0.0146,-0.0512,0.1332
124,-7.5362,-4.4779,-0.0653,0.2134,-0.7977,0.0069,-0.0405,0.1140
