# Name : Kerbbereich
# Stage: 28
# Units: length:mm angle:deg time:s 
id,x,y,z,displacement_x,displacement_y,displacement_z,epsilon_x,epsilon_y
39,9.7085,-4.8493,-0.0283,-0.0386,-0.1045,-0.0019,-0.0004,0.0005
40,9.5923,-4.5181,-0.0258,-0.0369,-0.1037,-0.0017,0.0004,0.0008
41,9.2957,-4.2842,-0.0224,-0.0356,-0.1022,-0.0017,0.0010,0.0002
42,9.0019,-4.0441,-0.0206,-0.0346,-0.0998,-0.0021,0.0004,0.0020
43,8.7243,-3.7882,-0.0203,-0.0332,-0.0968,-0.0022,-0.0004,0.0027
44,8.4711,-3.5082,-0.0194,-0.0314,-0.0938,-0.0021,-0.0010,0.0027
45,8.2479,-3.2088,-0.0190,-0.0290,-0.0897,-0.0013,-0.0003,0.0052
46,8.0520,-2.8901,-0.0136,-0.0269,-0.0846,0.0010,-0.0009,0.0082
47,7.8716,-2.5611,-0.0099,-0.0251,-0.0785,0.0014,-0.0015,0.0114
48,7.7153,-2.2231,-0.0027,-0.0236,-0.0708,0.0042,-0.0033,0.0155
49,7.5815,-1.8714,-0.0042,-0.0224,-0.0619,0.0067,-0.0049,0.0205
50,7.4628,-1.5146,-0.0035,-0.0219,-0.0515,0.0081,-0.0072,0.0244
51,7.3718,-1.1504,0.0011,-0.0215,-0.0406,0.0097,-0.0099,0.0286
52,7.2986,-0.7791,0.0023,-0.0215,-0.0285,0.0110,-0.0108,0.0311
53,7.2570,-0.4044,0.0034,-0.0217,-0.0154,0.0110,-0.0114,0.0340
54,7.2394,-0.0264,0.0003,-0.0218,-0.0020,0.0118,-0.0120,0.0347
55,7.2305,0.3501,-0.0009,-0.0220,0.0116,0.0100,-0.0129,0.0344
56,7.2562,0.7276,-0.0053,-0.0217,0.0248,0.0106,-0.0111,0.0326
57,7.3036,1.1023,-0.0069,-0.0217,0.0369,0.0090,-0.0101,0.0287
58,7.3918,1.4695,-0.0127,-0.0217,0.0484,0.0066,-0.0079,0.0247
59,7.5003,1.8299,-0.0147,-0.0221,0.0584,0.0044,-0.0053,0.0199
60,7.6386,2.1803,-0.0164,-0.0228,0.0671,0.0033,-0.0038,0.0167
61,7.7998,2.5206,-0.0195,-0.0244,0.0749,0.0011,-0.0028,0.0108
62,7.9900,2.8456,-0.0218,-0.0263,0.0812,-0.0012,-0.0012,0.0080
63,8.2050,3.1554,-0.0253,-0.0282,0.0864,-0.0028,-0.0009,0.0054
